year,Brecha_Total_Economia,tasa_stem
2013,16.0,9.5
2014,17.3,9.1
2015,18.4,8.4
2016,19.7,8.3
2017,19.8,8.1
2018,19.6,8.9
2019,21.6,9.0
2020,23.2,9.0
2021,15.9,9.9
2022,18.9,10.1
