year,Brecha_Total_Economia,tasa_stem
2013,29.8,12.8
2014,28.1,10.8
2015,26.7,13.0
2016,24.8,12.9
2017,24.9,13.2
2018,21.8,12.9
2019,21.6,13.8
2020,21.0,14.9
2021,20.3,15.2
2022,21.1,15.1
