geo,year,brecha_general,tasa_stem,nace_r2,brecha_sector,country_name,gggi_eas,gggi_ggi,gggi_pos
CH,2013,17.6,7.3,R,15.3,Switzerland,0.99,0.78,0.78
CH,2013,17.6,7.3,S,20.2,Switzerland,0.99,0.78,0.78
CY,2013,14.9,5.4,B,26.7,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,B-N,23.4,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,B-S,14.9,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,B-S_X_O,14.9,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,C,29.5,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,D,7.4,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,E,-6.9,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,F,8.7,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,G,25.4,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,H,32.0,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,I,17.8,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,J,20.1,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,K,24.6,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,L,11.4,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,M,36.2,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,N,10.8,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,O,14.1,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,P,7.3,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,Q,20.1,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,R,60.3,Cyprus,1.0,0.67,0.66
CY,2013,14.9,5.4,S,38.0,Cyprus,1.0,0.67,0.66
CZ,2013,22.3,11.4,B,21.3,Czech Republic,,,
CZ,2013,22.3,11.4,B-N,15.9,Czech Republic,,,
CZ,2013,22.3,11.4,B-S,21.3,Czech Republic,,,
CZ,2013,22.3,11.4,B-S_X_O,22.3,Czech Republic,,,
CZ,2013,22.3,11.4,C,27.4,Czech Republic,,,
CZ,2013,22.3,11.4,D,17.8,Czech Republic,,,
CZ,2013,22.3,11.4,E,0.8,Czech Republic,,,
CZ,2013,22.3,11.4,F,10.5,Czech Republic,,,
CZ,2013,22.3,11.4,G,25.8,Czech Republic,,,
CZ,2013,22.3,11.4,H,0.0,Czech Republic,,,
CZ,2013,22.3,11.4,I,5.8,Czech Republic,,,
CZ,2013,22.3,11.4,J,31.6,Czech Republic,,,
CZ,2013,22.3,11.4,K,40.9,Czech Republic,,,
CZ,2013,22.3,11.4,L,15.8,Czech Republic,,,
