freq,unit,isced11,sex,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,P_THAB,ED5-8,M,IE	: 	33.6 	35.7 	42.2 	43.2 	45.8 	47.0 d	49.1 d	52.9 d	52.7 d	51.2 d	50.1 d	: 
A,P_THAB,ED5-8,M,IS	: 	17.8 	20.3 	21.2 	22.5 	20.6 	18.2 	17.6 	17.2 	17.5 	18.7 	17.9 	: 
A,P_THAB,ED5-8,M,IT	: 	16.1 	16.3 	16.0 d	16.6 	17.3 d	18.6 	19.6 	19.9 p	21.5 	21.7 	23.4 	24.5 
A,P_THAB,ED5-8,M,LI	: 	14.5 	12.6 	12.6 	11.7 	11.8 	5.6 	7.4 	12.9 	14.6 	5.4 	: 	: 
A,P_THAB,ED5-8,M,LT	: 	31.4 	26.1 	25.8 	25.8 	27.3 	27.6 	28.0 	26.4 	26.7 	24.0 	24.7 	22.6 
A,P_THAB,ED5-8,M,LU	: 	4.9 	5.0 	5.1 	5.5 	5.6 	6.1 	5.7 	5.7 	6.5 	7.6 	8.0 	7.3 
A,P_THAB,ED5-8,M,LV	: 	18.4 	17.0 	17.2 	16.8 	17.0 	18.4 	18.7 	18.7 	19.8 	19.0 	20.2 	: 
A,P_THAB,ED5-8,M,ME	: 	: 	: 	: 	: 	: d	: d	: d	: d	12.6 	: 	11.8 	9.2 
A,P_THAB,ED5-8,M,MK	: 	9.0 	9.6 	7.5 	8.0 	7.8 	7.9 	8.6 	6.2 	7.4 	9.9 	9.3 	10.4 
A,P_THAB,ED5-8,M,MT	: 	21.7 	22.0 	20.9 	19.7 	19.7 	16.0 	15.2 	13.4 	14.8 	14.9 	12.7 	11.2 
A,P_THAB,ED5-8,M,NL	: 	: 	: 	: d	: 	16.7 	17.5 	18.6 	18.6 	20.8 	20.3 	20.9 	: 
A,P_THAB,ED5-8,M,NO	: 	19.8 	20.6 	20.1 	19.9 	23.0 	23.0 	23.0 	23.3 	26.6 	24.7 	27.0 	29.1 
A,P_THAB,ED5-8,M,PL	: 	: d	23.0 d	23.6 	23.5 	26.2 	23.3 	22.6 	20.1 	21.4 	22.0 de	22.8 de	23.9 de
A,P_THAB,ED5-8,M,PT	: 	22.8 	21.7 	22.8 	23.4 	25.4 	25.5 	26.3 	27.6 	28.1 	28.3 	29.0 	: 
A,P_THAB,ED5-8,M,RO	: 	20.1 	18.7 	16.7 	16.3 	17.1 	17.7 	19.3 	20.8 	21.3 	20.7 	21.4 	21.4 
A,P_THAB,ED5-8,M,RS	: 	: 	17.7 	17.4 	17.4 	19.1 	17.3 	18.0 	18.2 	17.6 	16.7 	18.6 	19.5 
A,P_THAB,ED5-8,M,SE	: 	19.4 	19.1 	19.8 	19.6 	18.7 	18.6 	19.6 	20.8 	23.3 	24.9 	24.5 	: 
A,P_THAB,ED5-8,M,SI	: 	26.1 	26.3 	25.6 	45.3 	25.0 	26.2 	26.6 	25.7 	27.5 	28.3 	29.2 	29.1 
A,P_THAB,ED5-8,M,SK	: 	22.4 	21.2 	20.9 	19.7 	18.6 	17.7 	16.6 	16.7 	17.3 	17.3 	17.0 	18.4 
A,P_THAB,ED5-8,M,TR	: 	: 	: 	15.6 	15.9 	16.4 	17.0 	16.4 	17.3 	18.8 	12.1 	16.4 	: 
A,P_THAB,ED5-8,M,UK	: 	28.7 	28.1 	27.3 	28.0 d	28.7 d	29.9 d	30.5 d	: 	: 	: 	: 	: 
A,P_THAB,ED5-8,T,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.4 	14.9 	15.2 	: 
A,P_THAB,ED5-8,T,AT	: 	22.2 	23.0 	21.9 	22.1 	22.0 	22.8 	23.4 	24.4 	25.0 	24.3 	24.6 	25.5 
A,P_THAB,ED5-8,T,BE	: 	13.0 	14.0 	13.3 	14.3 	13.6 	14.0 	14.2 d	15.7 d	16.4 d	16.4 	17.2 	: 
A,P_THAB,ED5-8,T,BG	: 	14.6 	14.2 	15.8 	15.2 	15.8 	15.2 	15.8 	15.0 	16.5 	16.8 	16.4 	17.0 
A,P_THAB,ED5-8,T,CH	: 	17.5 	18.4 	20.0 	20.3 	20.7 	21.2 	22.0 	21.8 	23.7 	24.0 	24.9 	25.6 
A,P_THAB,ED5-8,T,CY	: 	6.6 	7.5 	10.0 	10.2 	10.1 	10.0 	10.2 	9.8 	10.5 	11.6 	12.0 	12.0 
A,P_THAB,ED5-8,T,CZ	: 	16.9 	16.6 	17.2 	17.0 	16.8 	16.5 	16.1 	16.0 	16.0 	15.8 	16.1 	: 
A,P_THAB,ED5-8,T,DE	: 	17.8 	19.3 	20.5 d	20.1 d	20.4 	20.1 	24.4 	22.3 	24.0 	24.3 	24.2 	24.4 
A,P_THAB,ED5-8,T,DK	: 	19.9 	20.8 	20.2 	23.3 	22.6 	23.3 	23.7 	23.9 	26.1 	25.4 	26.9 	26.5 
A,P_THAB,ED5-8,T,EE	: 	15.6 	13.5 	15.5 	16.2 	16.5 	15.7 	16.5 	17.3 	19.6 	18.1 	17.2 	18.8 
A,P_THAB,ED5-8,T,EL	: 	15.7 	16.2 	17.1 	17.1 	17.9 	17.6 	17.2 	16.8 	20.1 	21.3 	23.1 	21.7 
A,P_THAB,ED5-8,T,ES	15.6 	19.4 	21.1 	22.4 	21.5 	21.8 	21.5 	20.9 	20.9 	23.4 	23.1 	23.5 	24.8 
A,P_THAB,ED5-8,T,EU27_2020	: 	: 	18.5 d	19.4 d	19.6 d	19.7 	19.7 d	20.8 	21.0 	22.1 	22.3 	22.4 	: 
A,P_THAB,ED5-8,T,EU28	: 	: 	19.1 d	19.8 d	20.0 d	20.2 	20.5 d	21.6 	: 	: 	: 	: 	: 
A,P_THAB,ED5-8,T,FI	: 	22.0 	22.3 	23.7 	24.3 	22.4 	23.8 	24.8 	26.5 	25.6 	26.5 	28.8 	32.9 
A,P_THAB,ED5-8,T,FR	: 	: d	: 	24.7 	25.5 	26.2 	26.5 d	27.3 	29.0 	29.6 	29.9 	27.6 	28.0 
A,P_THAB,ED5-8,T,HR	: 	15.5 	15.7 	17.3 	17.8 	19.5 	19.9 	21.4 	22.4 	22.6 	21.9 	22.1 	21.4 
A,P_THAB,ED5-8,T,HU	: 	11.2 	12.2 	12.3 	12.8 	12.2 	12.4 	12.5 	24.1 d	13.8 	13.1 	15.9 	14.4 
A,P_THAB,ED5-8,T,IE	: 	21.6 	23.9 	29.8 	30.6 	32.6 	35.0 d	36.6 d	39.4 d	40.0 d	40.3 d	39.5 d	: 
A,P_THAB,ED5-8,T,IS	: 	14.4 	16.3 	16.5 	18.0 	17.4 	15.2 	15.9 	14.6 	16.0 	16.3 	16.5 	: 
A,P_THAB,ED5-8,T,IT	: 	13.8 	13.9 	13.7 d	14.0 	14.6 d	15.7 	16.6 	16.9 p	18.3 	18.5 	20.1 	21.2 
A,P_THAB,ED5-8,T,LI	: 	12.7 	11.4 	11.5 	11.3 	11.3 	7.0 	9.0 	13.8 	18.5 	9.1 	: 	: 
A,P_THAB,ED5-8,T,LT	: 	22.5 	19.3 	19.0 	18.7 	19.7 	20.5 	20.4 	19.5 	19.5 	17.9 	18.1 	17.3 
A,P_THAB,ED5-8,T,LU	: 	3.6 	3.5 	3.4 	3.9 	3.8 	4.0 	3.9 	4.2 	4.9 	5.6 	6.1 	5.6 
A,P_THAB,ED5-8,T,LV	: 	14.1 	13.1 	12.9 	12.7 	12.7 	13.8 	14.0 	14.1 	15.1 	14.7 	15.6 	: 
A,P_THAB,ED5-8,T,ME	: 	: 	: 	: 	: 	: d	: d	: d	: d	12.4 	: 	11.2 	9.4 
A,P_THAB,ED5-8,T,MK	: 	7.5 	8.3 	7.0 	7.7 	7.6 	7.7 	8.4 	6.4 	7.4 	9.8 	9.9 	10.5 
A,P_THAB,ED5-8,T,MT	: 	15.8 	15.7 	15.5 	13.9 	14.1 	12.4 	11.5 	10.4 	11.5 	11.7 	10.7 	9.7 
A,P_THAB,ED5-8,T,NL	: 	: 	: 	: d	: 	12.0 	12.8 	13.6 	13.8 	15.5 	15.4 	16.1 	: 
A,P_THAB,ED5-8,T,NO	: 	14.1 	14.6 	14.5 	14.2 	16.5 	16.6 	16.5 	16.8 	19.3 	18.4 	19.9 	21.2 
A,P_THAB,ED5-8,T,PL	: 	: d	20.5 d	21.4 	21.5 	23.6 	20.9 	20.1 	17.7 	18.8 	19.1 de	19.5 de	20.0 de
A,P_THAB,ED5-8,T,PT	: 	18.6 	17.8 	18.7 	19.3 	20.6 	20.5 	21.0 	21.8 	22.9 	22.6 	23.4 	: 
A,P_THAB,ED5-8,T,RO	: 	17.6 	16.6 	14.9 	14.4 	15.1 	15.9 	17.5 	18.4 	19.1 	18.6 	19.0 	19.0 
A,P_THAB,ED5-8,T,RS	: 	: 	14.9 	14.9 	15.1 	16.2 	15.5 	16.0 	16.5 	16.2 	16.0 	17.6 	18.4 
A,P_THAB,ED5-8,T,SE	: 	14.7 	14.7 	15.3 	15.5 	15.0 	14.9 	15.8 	17.2 	19.2 	20.7 	20.5 	: 
A,P_THAB,ED5-8,T,SI	: 	19.8 	19.8 	19.9 	33.3 	19.4 	20.7 	20.8 	20.5 	21.6 	22.4 	23.3 	23.3 
A,P_THAB,ED5-8,T,SK	: 	18.0 	17.2 	16.6 	15.8 	14.7 	13.9 	12.9 	13.0 	13.2 	13.2 	13.0 	13.9 
A,P_THAB,ED5-8,T,TR	: 	: 	: 	12.0 	12.1 	12.5 	13.0 	12.8 	13.0 	14.2 	12.6 	12.7 	: 
A,P_THAB,ED5-8,T,UK	: 	23.0 	22.8 	22.2 	22.9 d	23.7 d	25.2 d	26.2 d	: 	: 	: 	: 	: 
A,P_THAB,ED6,F,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.2 	8.2 	8.2 	: 
A,P_THAB,ED6,F,AT	: 	4.4 	4.8 	4.6 	4.8 	4.8 	4.8 	5.2 	5.2 	6.2 	5.8 	6.1 	6.1 
A,P_THAB,ED6,F,BE	: 	2.8 	3.3 	2.9 d	3.6 	3.1 	3.2 	3.4 	3.9 	4.1 	4.2 	4.4 	: 
A,P_THAB,ED6,F,BG	: 	7.0 	5.9 	6.4 	6.5 	6.3 	6.2 	6.4 	6.3 	7.0 	6.9 	7.2 	7.1 
A,P_THAB,ED6,F,CH	: 	3.7 	3.9 	4.6 	4.6 	4.6 	4.9 	5.3 	5.6 	5.9 	6.2 	6.8 	6.9 
A,P_THAB,ED6,F,CY	: 	3.1 	3.7 	5.0 	4.5 	4.3 	3.5 	3.5 	3.2 	3.1 	3.8 	4.0 	4.1 
A,P_THAB,ED6,F,CZ	: 	6.2 	6.1 	6.4 	6.5 	6.2 	6.0 	6.0 	5.9 	6.1 	5.9 	6.0 	: 
A,P_THAB,ED6,F,DE	: 	4.9 	5.3 	5.6 d	5.6 d	5.7 	5.7 	6.6 	6.2 	7.0 	6.8 	6.8 	6.9 
A,P_THAB,ED6,F,DK	: 	6.2 	6.4 	5.7 	6.5 	6.3 	6.2 	6.6 	6.9 	7.4 	7.5 	8.0 	8.0 
A,P_THAB,ED6,F,EE	: 	7.3 	5.8 	7.0 	7.0 	6.9 	6.5 	6.7 	7.4 	7.7 	7.0 	7.3 	7.6 
A,P_THAB,ED6,F,EL	: 	9.3 	9.3 	10.0 	9.8 	10.0 	9.9 	9.9 	10.1 	11.9 	12.4 	12.7 	12.8 
A,P_THAB,ED6,F,ES	: 	3.5 	4.6 	5.3 	5.3 	5.4 	5.3 	5.4 	5.6 	5.7 	5.4 	5.4 	5.4 
A,P_THAB,ED6,F,EU27_2020	: 	5.8 	5.9 	6.2 	6.3 	6.4 	6.3 d	6.6 	6.7 	7.0 	6.9 	7.1 	: 
A,P_THAB,ED6,F,EU28	: 	6.4 	6.7 	6.7 	6.8 	7.0 	7.1 d	7.4 	: 	: 	: 	: 	: 
A,P_THAB,ED6,F,FI	: 	6.7 	6.8 	7.3 	7.4 	6.5 	7.3 	7.7 	8.8 	9.3 	10.1 	11.0 	12.9 
A,P_THAB,ED6,F,FR	: 	: d	: d	4.8 	5.1 	5.6 	5.4 d	5.6 	6.1 	6.4 	6.0 	6.2 	6.3 
A,P_THAB,ED6,F,HR	: 	5.1 	5.3 	6.0 	6.9 	8.7 	8.4 	8.7 	9.8 	9.1 	8.7 	9.4 	8.8 
A,P_THAB,ED6,F,HU	: 	3.9 	4.7 	5.4 	5.4 	5.0 	4.8 	4.6 	10.9 d	5.1 	4.7 	5.8 	5.2 
A,P_THAB,ED6,F,IE	: 	4.9 	7.6 	11.2 	11.9 	12.1 	13.7 d	13.2 d	13.5 d	14.5 d	14.0 d	13.9 d	: 
A,P_THAB,ED6,F,IS	: 	8.0 	6.8 	8.2 	9.4 	10.6 	7.7 	9.6 	7.9 	10.3 	9.9 	9.3 	: 
A,P_THAB,ED6,F,IT	: 	5.9 	5.9 	5.6 	5.5 	5.8 	6.3 	6.5 	6.8 p	7.0 	6.9 	7.7 	8.2 
A,P_THAB,ED6,F,LI	: 	6.3 	8.9 	9.0 	4.5 	4.5 	3.2 	4.5 	6.6 	15.2 	5.9 	: 	: 
A,P_THAB,ED6,F,LT	: 	8.9 	8.2 	8.4 	8.0 	8.0 	9.4 	9.0 	8.1 	7.5 	6.8 	6.9 	6.7 
A,P_THAB,ED6,F,LU	: 	0.5 	0.8 	0.4 	1.0 	0.5 	0.4 	0.6 	0.7 	0.6 	0.8 	1.0 	0.8 
A,P_THAB,ED6,F,LV	: 	5.4 	5.2 	4.5 	4.5 	4.4 	5.2 	5.2 	4.9 	5.4 	5.7 	6.1 	: 
A,P_THAB,ED6,F,ME	: 	: 	: 	: 	: 	: d	: d	: d	: d	10.3 	: 	8.3 	6.9 
A,P_THAB,ED6,F,MK	: 	4.5 	5.3 	4.9 	5.7 	5.6 	5.5 	6.3 	4.9 	5.4 	7.3 	7.8 	8.2 
A,P_THAB,ED6,F,MT	: 	6.0 	5.2 	6.4 	5.3 	5.3 	5.4 	5.0 	4.2 	4.8 	4.7 	5.6 	5.0 
A,P_THAB,ED6,F,NL	: 	2.8 	2.9 	3.2 	3.4 	3.7 	4.0 	4.3 	4.6 	5.2 	5.5 	5.7 	: 
A,P_THAB,ED6,F,NO	: 	3.5 	3.8 	4.2 	4.2 	4.6 	4.3 	4.1 	4.2 	4.8 	4.7 	4.9 	4.9 
A,P_THAB,ED6,F,PL	: 	10.6 	10.9 d	11.5 	11.6 	11.8 	10.7 	10.0 	9.2 	9.6 	9.8 	10.0 	10.2 
A,P_THAB,ED6,F,PT	: 	8.1 	7.5 	7.8 	8.1 	8.3 	7.8 	7.8 	8.5 	9.4 	8.7 	8.4 	: 
A,P_THAB,ED6,F,RO	: 	8.9 	8.0 	7.4 	7.3 	7.7 	8.3 	9.4 	9.1 	9.6 	9.6 	10.0 	9.5 
A,P_THAB,ED6,F,RS	: 	: 	4.5 	4.6 	7.9 	8.6 	8.5 	9.1 	9.4 	10.1 	9.8 	10.2 	10.6 
A,P_THAB,ED6,F,SE	: 	3.2 	3.7 	3.9 	4.1 	4.0 	3.9 	3.9 	4.6 	4.8 	5.0 	4.8 	: 
A,P_THAB,ED6,F,SI	: 	6.4 	6.7 	7.1 	8.4 	7.5 	7.9 	7.2 	7.7 	7.9 	8.2 	8.8 	8.5 
A,P_THAB,ED6,F,SK	: 	6.5 	6.1 	5.4 	5.2 	4.6 	4.4 	3.9 	3.8 	4.1 	4.3 	4.0 	4.3 
A,P_THAB,ED6,F,TR	: 	: 	: 	5.1 	4.9 	5.2 	5.2 	5.5 	5.4 	5.9 	7.4 	4.9 	: 
A,P_THAB,ED6,F,UK	: 	10.0 	11.2 	10.1 	10.4 	10.9 	11.6 	12.1 	: 	: 	: 	: 	: 
A,P_THAB,ED6,M,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.0 	10.0 	10.2 	: 
A,P_THAB,ED6,M,AT	: 	9.1 	9.3 	9.3 	9.5 	9.3 	9.6 	10.0 	9.9 	10.7 	10.4 	10.0 	10.3 
A,P_THAB,ED6,M,BE	: 	10.7 	11.1 	10.5 d	11.4 	11.4 	11.7 	11.7 	12.7 	12.8 	12.3 	12.1 	: 
A,P_THAB,ED6,M,BG	: 	10.9 	10.3 	11.2 	11.0 	11.7 	11.2 	12.4 	11.8 	12.8 	13.5 	13.2 	12.6 
A,P_THAB,ED6,M,CH	: 	18.7 	19.3 	21.0 	21.2 	21.4 	21.7 	22.4 	21.5 	23.3 	23.3 	23.3 	24.1 
A,P_THAB,ED6,M,CY	: 	5.3 	5.7 	7.0 	7.0 	6.9 	6.5 	6.5 	6.3 	7.5 	7.3 	6.4 	6.4 
A,P_THAB,ED6,M,CZ	: 	12.1 	11.7 	11.5 	11.2 	10.5 	10.4 	9.9 	10.2 	10.3 	10.5 	10.8 	: 
A,P_THAB,ED6,M,DE	: 	15.8 	17.3 	18.4 d	17.3 d	16.7 	16.2 	22.5 	20.0 	21.2 	21.4 	21.1 	20.7 
A,P_THAB,ED6,M,DK	: 	12.3 	13.3 	12.9 	14.1 	13.1 	15.0 	15.1 	15.8 	16.3 	16.0 	16.6 	15.9 
A,P_THAB,ED6,M,EE	: 	11.7 	9.9 	10.4 	11.3 	11.4 	10.0 	10.7 	10.5 	13.5 	11.9 	11.4 	12.7 
A,P_THAB,ED6,M,EL	: 	15.5 	16.5 	16.9 	15.7 	15.4 	14.8 	14.4 	13.8 	16.9 	17.9 	19.4 	17.8 
A,P_THAB,ED6,M,ES	: 	8.5 	9.9 	11.4 	10.2 	10.5 	10.0 	10.1 	10.4 	10.4 	9.9 	9.7 	9.8 
A,P_THAB,ED6,M,EU27_2020	: 	11.7 	12.1 	12.6 	12.5 	12.4 	12.2 d	13.8 	13.8 	13.9 	13.8 	13.9 	: 
A,P_THAB,ED6,M,EU28	: 	12.3 	13.0 	13.0 	12.9 	13.0 	12.9 d	14.2 	: 	: 	: 	: 	: 
A,P_THAB,ED6,M,FI	: 	20.4 	20.5 	22.4 	22.5 	20.2 	22.3 	23.0 	23.0 	22.4 	22.3 	23.3 	26.0 
A,P_THAB,ED6,M,FR	: 	: d	: d	8.5 	8.8 	8.9 	9.2 d	9.4 	10.0 	9.7 	9.6 	9.4 	10.4 
A,P_THAB,ED6,M,HR	: 	11.6 	11.0 	12.2 	12.6 	14.0 	14.3 	15.6 	15.9 	14.8 	14.2 	14.8 	14.8 
A,P_THAB,ED6,M,HU	: 	9.4 	10.0 	11.2 	11.8 	11.1 	11.2 	11.9 	27.2 d	13.2 	12.3 	16.1 	13.7 
A,P_THAB,ED6,M,IE	: 	14.6 	25.4 	28.9 	30.5 	30.7 	30.3 d	29.5 d	30.6 d	30.2 d	27.0 d	26.3 d	: 
A,P_THAB,ED6,M,IS	: 	13.8 	15.5 	16.4 	18.3 	15.6 	13.5 	13.5 	13.3 	12.6 	14.1 	13.5 	: 
A,P_THAB,ED6,M,IT	: 	8.7 	8.8 	8.7 	8.9 	9.1 	9.8 	10.3 	10.5 p	10.7 	10.7 	11.5 	12.4 
A,P_THAB,ED6,M,LI	: 	10.1 	3.9 	3.9 	5.2 	5.2 	3.4 	3.0 	5.3 	10.7 	4.1 	: 	: 
A,P_THAB,ED6,M,LT	: 	25.0 	20.4 	20.0 	20.5 	21.3 	21.8 	22.1 	20.7 	20.6 	18.0 	19.0 	17.4 
A,P_THAB,ED6,M,LU	: 	1.9 	1.9 	1.8 	2.0 	2.1 	1.9 	1.9 	1.9 	2.3 	2.4 	2.3 	1.9 
A,P_THAB,ED6,M,LV	: 	10.7 	9.4 	9.2 	9.4 	9.0 	9.8 	9.8 	10.0 	10.8 	10.4 	12.2 	: 
A,P_THAB,ED6,M,ME	: 	: 	: 	: 	: 	: d	: d	: d	: d	11.4 	: 	10.1 	7.4 
A,P_THAB,ED6,M,MK	: 	7.3 	7.6 	6.0 	6.2 	6.2 	6.3 	6.9 	4.9 	6.0 	8.0 	7.2 	8.3 
A,P_THAB,ED6,M,MT	: 	12.5 	13.2 	12.9 	11.6 	11.8 	11.2 	10.6 	9.9 	10.7 	10.3 	9.3 	7.8 
A,P_THAB,ED6,M,NL	: 	9.7 	9.9 	9.9 	10.0 	10.4 	10.8 	11.3 	11.4 	12.5 	12.1 	12.2 	: 
A,P_THAB,ED6,M,NO	: 	8.3 	8.7 	8.8 	9.2 	10.0 	10.2 	10.2 	10.1 	11.6 	10.1 	10.7 	11.5 
A,P_THAB,ED6,M,PL	: 	14.8 	15.1 d	15.6 	15.4 	16.2 	14.9 	14.6 	13.3 	14.5 	14.9 	15.4 	16.4 
A,P_THAB,ED6,M,PT	: 	14.2 	13.3 	13.6 	13.8 	13.9 	13.4 	14.1 	15.2 	15.5 	15.6 	15.1 	: 
A,P_THAB,ED6,M,RO	: 	12.9 	11.5 	10.7 	10.9 	11.6 	11.9 	13.2 	14.1 	14.4 	14.0 	14.7 	14.6 
A,P_THAB,ED6,M,RS	: 	: 	8.8 	8.3 	12.6 	14.0 	12.9 	13.0 	13.2 	12.9 	11.5 	12.9 	13.4 
A,P_THAB,ED6,M,SE	: 	5.2 	5.8 	6.0 	5.9 	5.6 	5.7 	5.6 	6.1 	7.0 	6.8 	6.3 	: 
A,P_THAB,ED6,M,SI	: 	12.2 	13.4 	13.9 	22.4 	12.6 	13.1 	13.7 	13.4 	13.3 	14.2 	14.6 	14.1 
A,P_THAB,ED6,M,SK	: 	10.5 	9.8 	10.0 	9.4 	8.4 	8.2 	7.8 	7.9 	8.7 	9.4 	8.4 	9.1 
A,P_THAB,ED6,M,TR	: 	: 	: 	7.2 	7.5 	7.9 	8.2 	8.7 	9.5 	10.6 	6.9 	8.1 	: 
A,P_THAB,ED6,M,UK	: 	16.2 	18.1 	15.8 	15.8 	16.6 	16.9 	17.0 	: 	: 	: 	: 	: 
A,P_THAB,ED6,T,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.1 	9.1 	9.2 	: 
A,P_THAB,ED6,T,AT	: 	6.8 	7.1 	7.0 	7.2 	7.1 	7.2 	7.7 	7.6 	8.5 	8.2 	8.1 	8.3 
A,P_THAB,ED6,T,BE	: 	6.8 	7.2 	6.7 d	7.5 	7.3 	7.5 	7.6 	8.4 	8.5 	8.3 	8.3 	: 
A,P_THAB,ED6,T,BG	: 	9.0 	8.2 	8.9 	8.8 	9.1 	8.8 	9.5 	9.2 	10.0 	10.3 	10.3 	9.9 
A,P_THAB,ED6,T,CH	: 	11.3 	11.7 	12.9 	13.0 	13.2 	13.5 	14.0 	13.7 	14.8 	15.0 	15.3 	15.7 
A,P_THAB,ED6,T,CY	: 	4.2 	4.7 	6.0 	5.7 	5.6 	5.0 	4.9 	4.7 	5.3 	5.6 	5.2 	5.3 
A,P_THAB,ED6,T,CZ	: 	9.2 	9.0 	9.0 	8.9 	8.4 	8.3 	8.0 	8.1 	8.3 	8.3 	8.4 	: 
A,P_THAB,ED6,T,DE	: 	10.5 	11.5 	12.2 d	11.7 d	11.5 	11.2 	14.9 	13.4 	14.4 	14.4 	14.2 	14.1 
A,P_THAB,ED6,T,DK	: 	9.3 	9.9 	9.4 	10.4 	9.8 	10.7 	11.0 	11.5 	11.9 	11.9 	12.4 	12.1 
A,P_THAB,ED6,T,EE	: 	9.6 	7.9 	8.8 	9.2 	9.2 	8.3 	8.8 	9.0 	10.7 	9.5 	9.4 	10.2 
A,P_THAB,ED6,T,EL	: 	12.5 	13.0 	13.5 	12.8 	12.8 	12.4 	12.2 	12.0 	14.5 	15.3 	16.2 	15.3 
A,P_THAB,ED6,T,ES	: 	6.0 	7.3 	8.4 	7.8 	8.0 	7.7 	7.8 	8.1 	8.1 	7.7 	7.6 	7.7 
A,P_THAB,ED6,T,EU27_2020	: 	8.8 	9.1 	9.5 	9.4 	9.5 	9.3 d	10.3 	10.4 	10.6 	10.5 	10.6 	: 
A,P_THAB,ED6,T,EU28	: 	9.4 	9.9 	9.9 	9.9 	10.1 	10.1 d	10.9 	: 	: 	: 	: 	: 
A,P_THAB,ED6,T,FI	: 	13.7 	13.9 	15.0 	15.1 	13.5 	15.0 	15.6 	16.1 	16.1 	16.4 	17.4 	19.7 
A,P_THAB,ED6,T,FR	: 	: d	: d	6.7 	6.9 	7.3 	7.3 d	7.5 	8.1 	8.1 	7.8 	7.8 	8.4 
A,P_THAB,ED6,T,HR	: 	8.4 	8.2 	9.1 	9.8 	11.3 	11.3 	12.2 	12.9 	12.0 	11.5 	12.2 	11.9 
A,P_THAB,ED6,T,HU	: 	6.7 	7.4 	8.4 	8.7 	8.1 	8.1 	8.4 	19.3 d	9.3 	8.6 	11.1 	9.6 
A,P_THAB,ED6,T,IE	: 	9.7 	16.4 	19.9 	21.1 	21.4 	22.1 d	21.4 d	22.1 d	22.4 d	20.6 d	20.1 d	: 
A,P_THAB,ED6,T,IS	: 	11.0 	11.3 	12.4 	14.0 	13.2 	10.8 	11.7 	10.7 	11.5 	12.1 	11.5 	: 
A,P_THAB,ED6,T,IT	: 	7.3 	7.4 	7.2 	7.3 	7.5 	8.1 	8.4 	8.8 p	9.0 	8.9 	9.6 	10.4 
A,P_THAB,ED6,T,LI	: 	8.2 	6.4 	6.4 	4.9 	4.9 	3.3 	3.7 	6.0 	12.9 	5.0 	: 	: 
A,P_THAB,ED6,T,LT	: 	17.1 	14.5 	14.3 	14.4 	14.8 	15.7 	15.6 	14.5 	14.2 	12.6 	13.1 	12.3 
A,P_THAB,ED6,T,LU	: 	1.2 	1.4 	1.1 	1.5 	1.3 	1.2 	1.3 	1.3 	1.5 	1.6 	1.7 	1.3 
A,P_THAB,ED6,T,LV	: 	8.1 	7.4 	7.0 	7.0 	6.8 	7.6 	7.6 	7.6 	8.2 	8.2 	9.2 	: 
A,P_THAB,ED6,T,ME	: 	: 	: 	: 	: 	: d	: d	: d	: d	10.9 	: 	9.2 	7.2 
A,P_THAB,ED6,T,MK	: 	5.9 	6.4 	5.5 	6.0 	5.9 	5.9 	6.6 	4.9 	5.7 	7.7 	7.5 	8.3 
A,P_THAB,ED6,T,MT	: 	9.4 	9.4 	9.8 	8.6 	8.6 	8.5 	8.0 	7.3 	8.1 	7.8 	7.7 	6.6 
A,P_THAB,ED6,T,NL	: 	6.3 	6.4 	6.6 	6.8 	7.1 	7.4 	7.9 	8.1 	8.9 	8.8 	9.0 	: 
A,P_THAB,ED6,T,NO	: 	5.9 	6.3 	6.6 	6.8 	7.4 	7.3 	7.2 	7.3 	8.3 	7.4 	7.9 	8.3 
A,P_THAB,ED6,T,PL	: 	12.7 	13.0 d	13.6 	13.5 	14.0 	12.9 	12.4 	11.3 	12.1 	12.4 	12.7 	13.3 
A,P_THAB,ED6,T,PT	: 	11.1 	10.4 	10.7 	11.0 	11.1 	10.6 	10.9 	11.9 	12.5 	12.2 	11.8 	: 
A,P_THAB,ED6,T,RO	: 	10.9 	9.8 	9.1 	9.1 	9.7 	10.2 	11.4 	11.7 	12.0 	11.9 	12.4 	12.2 
A,P_THAB,ED6,T,RS	: 	: 	6.7 	6.5 	10.4 	11.4 	10.8 	11.1 	11.4 	11.5 	10.7 	11.6 	12.0 
A,P_THAB,ED6,T,SE	: 	4.2 	4.8 	4.9 	5.0 	4.9 	4.8 	4.8 	5.4 	5.9 	5.9 	5.6 	: 
A,P_THAB,ED6,T,SI	: 	9.4 	10.2 	10.6 	15.6 	10.1 	10.6 	10.6 	10.8 	10.8 	11.4 	11.9 	11.5 
A,P_THAB,ED6,T,SK	: 	8.5 	8.0 	7.8 	7.3 	6.5 	6.3 	5.9 	5.9 	6.5 	6.9 	6.3 	6.7 
A,P_THAB,ED6,T,TR	: 	: 	: 	6.2 	6.3 	6.6 	6.7 	7.1 	7.5 	8.3 	7.2 	6.5 	: 
