freq,unit,isced11,sex,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,P_THAB,ED5,M,CH	: 	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 
A,P_THAB,ED5,M,CY	: 	0.8 	1.2 	1.6 	1.6 	2.0 	3.0 	2.8 	3.1 	3.4 	3.3 	3.9 	3.6 
A,P_THAB,ED5,M,CZ	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
A,P_THAB,ED5,M,DE	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.3 	0.2 	0.3 	0.3 	0.3 	0.4 
A,P_THAB,ED5,M,DK	: 	4.2 	4.0 	4.1 	4.2 	4.4 	4.2 	4.4 	4.6 	4.6 	4.3 	4.7 	4.3 
A,P_THAB,ED5,M,EE	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,M,EL	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,M,ES	: 	9.6 	10.9 	11.2 	11.7 	11.5 	12.6 	12.8 	11.6 	15.7 	15.4 	16.4 	17.6 
A,P_THAB,ED5,M,EU27_2020	: 	: 	3.3 	3.3 d	3.3 	3.5 	3.8 d	3.8 	4.0 	4.6 	4.8 	4.3 	: 
A,P_THAB,ED5,M,EU28	: 	: 	3.1 	3.3 d	3.4 	3.5 	3.8 d	3.9 	: 	: 	: 	: 	: 
A,P_THAB,ED5,M,FI	: 	0.0 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,M,FR	: 	: d	: d	11.2 	11.6 	12.1 	12.3 d	12.6 	13.7 	13.7 	14.1 	9.3 	9.3 
A,P_THAB,ED5,M,HR	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 
A,P_THAB,ED5,M,HU	: 	1.6 	1.7 	0.4 	0.2 	0.3 	0.3 	0.3 	0.4 	0.6 	0.6 	0.7 	0.9 
A,P_THAB,ED5,M,IE	: 	12.7 	3.5 	4.2 	4.0 	5.1 	5.7 d	6.6 d	6.9 d	7.2 d	7.2 d	7.0 d	: 
A,P_THAB,ED5,M,IS	: 	0.1 	0.4 	0.4 	0.2 	0.4 	0.4 	0.1 	0.1 	0.1 	0.1 	0.2 	: 
A,P_THAB,ED5,M,IT	: 	0.2 	0.3 	0.0 d	0.3 	0.4 	0.5 	0.5 	0.7 p	0.8 	1.0 	1.3 	1.2 
A,P_THAB,ED5,M,LI	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 
A,P_THAB,ED5,M,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	0.0 
A,P_THAB,ED5,M,LU	: 	0.3 	0.6 	0.7 	1.0 	0.9 	0.9 	0.9 	1.0 	1.0 	1.5 	1.4 	1.5 
A,P_THAB,ED5,M,LV	: 	3.0 	3.3 	3.5 	3.4 	3.8 	4.4 	4.9 	3.5 	3.4 	3.9 	3.4 	: 
A,P_THAB,ED5,M,ME	: 	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: m	: m
A,P_THAB,ED5,M,MK	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,M,MT	: 	4.7 	4.7 	4.8 	4.6 	4.6 	1.0 	0.9 	0.8 	0.7 	0.5 	0.4 	0.4 
A,P_THAB,ED5,M,NL	: 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 	0.3 	0.3 	0.4 	0.5 	0.6 	: 
A,P_THAB,ED5,M,NO	: 	4.9 	5.1 	4.7 	4.9 	4.8 	4.7 	4.4 	4.7 	5.6 	5.2 	6.1 	7.2 
A,P_THAB,ED5,M,PL	: 	: m	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,P_THAB,ED5,M,PT	: 	: m	: m	: m	0.1 	1.8 	2.2 	2.5 	2.8 	2.8 	2.6 	3.0 	: 
A,P_THAB,ED5,M,RO	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,M,RS	: 	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,M,SE	: 	3.9 	3.4 	3.8 	3.7 	3.9 	3.9 	3.9 	4.5 	5.4 	7.5 	7.6 	: 
A,P_THAB,ED5,M,SI	: 	5.1 	4.5 	3.7 	4.7 	5.0 	5.4 	5.7 	5.4 	6.7 	6.5 	6.4 	7.0 
A,P_THAB,ED5,M,SK	: 	0.1 	0.0 	0.1 	0.2 	0.1 	0.1 	0.1 	0.2 	0.2 	0.1 	0.2 	0.1 
A,P_THAB,ED5,M,TR	: 	: 	: 	7.4 	7.3 	7.4 	7.4 	5.9 	6.6 	6.9 	3.7 	6.4 	: 
A,P_THAB,ED5,M,UK	: 	4.1 	2.0 	3.4 	4.0 d	4.0 d	4.3 d	4.3 d	: 	: 	: 	: 	: 
A,P_THAB,ED5,T,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9 	1.1 	1.2 	: 
A,P_THAB,ED5,T,AT	: 	8.9 	8.9 	8.6 	8.2 	8.4 	8.6 	8.7 	9.8 	9.1 	8.8 	8.9 	9.1 
A,P_THAB,ED5,T,BE	: 	0.0 	0.0 	: d	0.0 	0.0 	0.0 	0.0 d	0.3 d	0.8 d	1.1 	1.1 	: 
A,P_THAB,ED5,T,BG	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,T,CH	: 	0.1 	0.1 	0.1 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 
A,P_THAB,ED5,T,CY	: 	0.4 	0.6 	0.9 	1.0 	1.1 	1.8 	1.7 	1.9 	2.1 	2.1 	2.4 	2.1 
A,P_THAB,ED5,T,CZ	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
A,P_THAB,ED5,T,DE	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 
A,P_THAB,ED5,T,DK	: 	3.5 	3.4 	2.7 	2.7 	2.8 	2.7 	2.8 	2.8 	2.9 	2.8 	3.1 	2.9 
A,P_THAB,ED5,T,EE	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,T,EL	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,T,ES	: 	5.7 	6.4 	6.5 	6.9 	6.8 	7.4 	7.5 	6.9 	9.4 	9.2 	9.9 	10.7 
A,P_THAB,ED5,T,EU27_2020	: 	: 	2.1 	2.1 d	2.1 	2.2 	2.4 d	2.4 	2.6 	2.9 	3.1 	2.7 	: 
A,P_THAB,ED5,T,EU28	: 	: 	2.0 	2.1 d	2.2 	2.2 	2.5 d	2.5 	: 	: 	: 	: 	: 
A,P_THAB,ED5,T,FI	: 	0.0 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,T,FR	: 	: d	: d	7.0 	7.3 	7.6 	7.9 d	8.0 	8.6 	8.7 	9.2 	6.0 	6.0 
A,P_THAB,ED5,T,HR	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 
A,P_THAB,ED5,T,HU	: 	1.1 	1.1 	0.2 	0.1 	0.2 	0.2 	0.2 	0.3 	0.4 	0.4 	0.4 	0.5 
