year,Brecha_Total_Economia,tasa_stem
2013,17.8,11.5
2014,14.9,12.3
2015,14.1,13.3
2016,14.8,12.9
2017,13.5,13.1
2018,11.9,12.6
2019,9.6,11.9
2020,9.3,12.4
2021,9.3,13.2
2022,9.2,13.0
