year,Brecha_Total_Economia,tasa_stem
2013,7.0,11.4
2014,6.1,11.4
2015,5.5,11.3
2016,5.3,11.3
2017,5.0,11.8
2018,5.5,12.6
2019,4.6,13.4
2020,4.0,13.6
2021,4.7,14.8
2022,3.8,15.0
